Line,From Station,To Station
Bakerloo,Elephant & Castle,Lambeth North
Bakerloo,Lambeth North,Waterloo
Bakerloo,Waterloo,Embankment
Bakerloo,Embankment,Charing Cross
Bakerloo,Charing Cross,Piccadilly Circus
Bakerloo,Piccadilly Circus,Oxford Circus
Bakerloo,Oxford Circus,Regent's Park
Bakerloo,Regent's Park,Baker Street
Bakerloo,Baker Street,Marylebone
Bakerloo,Marylebone,Edgware Road
Bakerloo,Edgware Road,Paddington
Bakerloo,Paddington,Warwick Avenue
Bakerloo,Warwick Avenue,Maida Vale
Bakerloo,Maida Vale,Kilburn Park
Bakerloo,Kilburn Park,Queen's Park
Bakerloo,Queen's Park,Kensal Green
Bakerloo,Kensal Green,Willesden Junction
Bakerloo,Willesden Junction,Harlesden
Bakerloo,Harlesden,Stonebridge Park
Bakerloo,Stonebridge Park,Wembley Central
Bakerloo,Wembley Central,North Wembley
Bakerloo,North Wembley,South Kenton
Bakerloo,South Kenton,Kenton
Bakerloo,Kenton,Harrow & Wealdstone
Bakerloo,Harrow & Wealdstone,Kenton
Bakerloo,Kenton,South Kenton
Bakerloo,South Kenton,North Wembley
Bakerloo,North Wembley,Wembley Central
Bakerloo,Wembley Central,Stonebridge Park
Bakerloo,Stonebridge Park,Harlesden
Bakerloo,Harlesden,Willesden Junction
Bakerloo,Willesden Junction,Kensal Green
Bakerloo,Kensal Green,Queen's Park
Bakerloo,Queen's Park,Kilburn Park
Bakerloo,Kilburn Park,Maida Vale
Bakerloo,Maida Vale,Warwick Avenue
Bakerloo,Warwick Avenue,Paddington
Bakerloo,Paddington,Edgware Road
Bakerloo,Edgware Road,Marylebone
Bakerloo,Marylebone,Baker Street
Bakerloo,Baker Street,Regent's Park
Bakerloo,Regent's Park,Oxford Circus
Bakerloo,Oxford Circus,Piccadilly Circus
Bakerloo,Piccadilly Circus,Charing Cross
Bakerloo,Charing Cross,Embankment
Bakerloo,Embankment,Waterloo
Bakerloo,Waterloo,Lambeth North
Bakerloo,Lambeth North,Elephant & Castle
Central,West Ruislip,Ruislip Gardens
Central,Ruislip Gardens,South Ruislip
Central,South Ruislip,Northolt
Central,Northolt,Greenford
Central,Greenford,Perivale
Central,Perivale,Hanger Lane
Central,Hanger Lane,North Acton
Central,Ealing Broadway,West Acton
Central,West Acton,North Acton
Central,North Acton,East Acton
Central,East Acton,White City
Central,White City,Shepherd's Bush
Central,Shepherd's Bush,Holland Park
Central,Holland Park,Notting Hill Gate
Central,Notting Hill Gate,Queensway
Central,Queensway,Lancaster Gate
Central,Lancaster Gate,Marble Arch
Central,Marble Arch,Bond Street
Central,Bond Street,Oxford Circus
Central,Oxford Circus,Tottenham Court Road
Central,Tottenham Court Road,Holborn
Central,Holborn,Chancery Lane
Central,Chancery Lane,St. Paul's
Central,St. Paul's,Bank and Monument
Central,Bank and Monument,Liverpool Street
Central,Liverpool Street,Bethnal Green
Central,Bethnal Green,Mile End
Central,Mile End,Stratford
Central,Stratford,Leyton
Central,Leyton,Leytonstone
Central,Leytonstone,Snaresbrook
Central,Snaresbrook,South Woodford
Central,South Woodford,Woodford
Central,Woodford,Buckhurst Hill
Central,Buckhurst Hill,Loughton
Central,Loughton,Debden
Central,Debden,Theydon Bois
Central,Theydon Bois,Epping
Central,Leytonstone,Wanstead
Central,Wanstead,Redbridge
Central,Redbridge,Gants Hill
Central,Gants Hill,Newbury Park
Central,Newbury Park,Barkingside
Central,Barkingside,Fairlop
Central,Fairlop,Hainault
Central,Hainault,Grange Hill
Central,Grange Hill,Chigwell
Central,Chigwell,Roding Valley
Central,Roding Valley,Woodford
Central,Epping,Theydon Bois
Central,Theydon Bois,Debden
Central,Debden,Loughton
Central,Loughton,Buckhurst Hill
Central,Buckhurst Hill,Woodford
Central,Woodford,South Woodford
Central,South Woodford,Snaresbrook
Central,Snaresbrook,Leytonstone
Central,Woodford,Roding Valley
Central,Roding Valley,Chigwell
Central,Chigwell,Grange Hill
Central,Grange Hill,Hainault
Central,Hainault,Fairlop
Central,Fairlop,Barkingside
Central,Barkingside,Newbury Park
Central,Newbury Park,Gants Hill
Central,Gants Hill,Redbridge
Central,Redbridge,Wanstead
Central,Wanstead,Leytonstone
Central,Leytonstone,Leyton
Central,Leyton,Stratford
Central,Stratford,Mile End
Central,Mile End,Bethnal Green
Central,Bethnal Green,Liverpool Street
Central,Liverpool Street,Bank and Monument
Central,Bank and Monument,St. Paul's
Central,St. Paul's,Chancery Lane
Central,Chancery Lane,Holborn
Central,Holborn,Tottenham Court Road
Central,Tottenham Court Road,Oxford Circus
Central,Oxford Circus,Bond Street
Central,Bond Street,Marble Arch
Central,Marble Arch,Lancaster Gate
Central,Lancaster Gate,Queensway
Central,Queensway,Notting Hill Gate
Central,Notting Hill Gate,Holland Park
Central,Holland Park,Shepherd's Bush
Central,Shepherd's Bush,White City
Central,White City,East Acton
Central,East Acton,North Acton
Central,North Acton,Hanger Lane
Central,Hanger Lane,Perivale
Central,Perivale,Greenford
Central,Greenford,Northolt
Central,Northolt,South Ruislip
Central,South Ruislip,Ruislip Gardens
Central,Ruislip Gardens,West Ruislip
Central,North Acton,West Acton
Central,West Acton,Ealing Broadway
District,Ealing Broadway,Ealing Common
District,Ealing Common,Acton Town
District,Acton Town,Chiswick Park
District,Chiswick Park,Turnham Green
District,Richmond,Kew Gardens
District,Kew Gardens,Gunnersbury
District,Gunnersbury,Turnham Green
District,Turnham Green,Stamford Brook
District,Stamford Brook,Ravenscourt Park
District,Ravenscourt Park,Hammersmith
District,Hammersmith,Barons Court
District,Barons Court,West Kensington
District,West Kensington,Earl's Court
District,Wimbledon,Wimbledon Park
District,Wimbledon Park,Southfields
District,Southfields,East Putney
District,East Putney,Putney Bridge
District,Putney Bridge,Parsons Green
District,Parsons Green,Fulham Broadway
District,Fulham Broadway,West Brompton
District,West Brompton,Earl's Court
District,Kensington,Earl's Court
District,Earl's Court,High Street Kensington
District,High Street Kensington,Notting Hill Gate
District,Notting Hill Gate,Bayswater
District,Bayswater,Paddington
District,Paddington,Edgware Road
District,Earl's Court,Gloucester Road
District,Gloucester Road,South Kensington
District,South Kensington,Sloane Square
District,Sloane Square,Victoria
District,Victoria,St. James's Park
District,St. James's Park,Westminster
District,Westminster,Embankment
District,Embankment,Temple
District,Temple,Blackfriars
District,Blackfriars,Mansion House
District,Mansion House,Cannon Street
District,Cannon Street,Bank and Monument
District,Bank and Monument,Tower Hill
District,Tower Hill,Aldgate East
District,Aldgate East,Whitechapel
District,Whitechapel,Stepney Green
District,Stepney Green,Mile End
District,Mile End,Bow Road
District,Bow Road,Bromley-by-Bow
District,Bromley-by-Bow,West Ham
District,West Ham,Plaistow
District,Plaistow,Upton Park
District,Upton Park,East Ham
District,East Ham,Barking
District,Barking,Upney
District,Upney,Becontree
District,Becontree,Dagenham Heathway
District,Dagenham Heathway,Dagenham East
District,Dagenham East,Elm Park
District,Elm Park,Hornchurch
District,Hornchurch,Upminster Bridge
District,Upminster Bridge,Upminster
District,Upminster,Upminster Bridge
District,Upminster Bridge,Hornchurch
District,Hornchurch,Elm Park
District,Elm Park,Dagenham East
District,Dagenham East,Dagenham Heathway
District,Dagenham Heathway,Becontree
District,Becontree,Upney
District,Upney,Barking
District,Barking,East Ham
District,East Ham,Upton Park
District,Upton Park,Plaistow
District,Plaistow,West Ham
District,West Ham,Bromley-by-Bow
District,Bromley-by-Bow,Bow Road
District,Bow Road,Mile End
District,Mile End,Stepney Green
District,Stepney Green,Whitechapel
District,Whitechapel,Aldgate East
District,Aldgate East,Tower Hill
District,Tower Hill,Bank and Monument
District,Bank and Monument,Cannon Street
District,Cannon Street,Mansion House
District,Mansion House,Blackfriars
District,Blackfriars,Temple
District,Temple,Embankment
District,Embankment,Westminster
District,Westminster,St. James's Park
District,St. James's Park,Victoria
District,Victoria,Sloane Square
District,Sloane Square,South Kensington
District,South Kensington,Gloucester Road
District,Gloucester Road,Earl's Court
District,Edgware Road,Paddington
District,Paddington,Bayswater
District,Bayswater,Notting Hill Gate
District,Notting Hill Gate,High Street Kensington
District,High Street Kensington,Earl's Court
District,Earl's Court,Kensington
District,Earl's Court,West Brompton
District,West Brompton,Fulham Broadway
District,Fulham Broadway,Parsons Green
District,Parsons Green,Putney Bridge
District,Putney Bridge,East Putney
District,East Putney,Southfields
District,Southfields,Wimbledon Park
District,Wimbledon Park,Wimbledon
District,Earl's Court,West Kensington
District,West Kensington,Barons Court
District,Barons Court,Hammersmith
District,Hammersmith,Ravenscourt Park
District,Ravenscourt Park,Stamford Brook
District,Stamford Brook,Turnham Green
District,Turnham Green,Gunnersbury
District,Gunnersbury,Kew Gardens
District,Kew Gardens,Richmond
District,Turnham Green,Chiswick Park
District,Chiswick Park,Acton Town
