Line,Dir,From Station,To Station
Bakerloo,NB,Elephant & Castle,Lambeth North
Bakerloo,NB,Lambeth North,Waterloo
Bakerloo,NB,Waterloo,Embankment
Bakerloo,NB,Embankment,Charing Cross
Bakerloo,NB,Charing Cross,Piccadilly Circus
Bakerloo,NB,Piccadilly Circus,Oxford Circus
Bakerloo,NB,Oxford Circus,Regent's Park
Bakerloo,NB,Regent's Park,Baker Street
Bakerloo,NB,Baker Street,Marylebone
Bakerloo,NB,Marylebone,Edgware Road (Bak)
Bakerloo,NB,Edgware Road (Bak),Paddington
Bakerloo,NB,Paddington,Warwick Avenue
Bakerloo,NB,Warwick Avenue,Maida Vale
Bakerloo,NB,Maida Vale,Kilburn Park
Bakerloo,NB,Kilburn Park,Queen's Park
Bakerloo,NB,Queen's Park,Kensal Green
Bakerloo,NB,Kensal Green,Willesden Junction
Bakerloo,NB,Willesden Junction,Harlesden
Bakerloo,NB,Harlesden,Stonebridge Park
Bakerloo,NB,Stonebridge Park,Wembley Central
Bakerloo,NB,Wembley Central,North Wembley
Bakerloo,NB,North Wembley,South Kenton
Bakerloo,NB,South Kenton,Kenton
Bakerloo,NB,Kenton,Harrow & Wealdstone
Bakerloo,SB,Harrow & Wealdstone,Kenton
Bakerloo,SB,Kenton,South Kenton
Bakerloo,SB,South Kenton,North Wembley
Bakerloo,SB,North Wembley,Wembley Central
Bakerloo,SB,Wembley Central,Stonebridge Park
Bakerloo,SB,Stonebridge Park,Harlesden
Bakerloo,SB,Harlesden,Willesden Junction
Bakerloo,SB,Willesden Junction,Kensal Green
Bakerloo,SB,Kensal Green,Queen's Park
Bakerloo,SB,Queen's Park,Kilburn Park
Bakerloo,SB,Kilburn Park,Maida Vale
Bakerloo,SB,Maida Vale,Warwick Avenue
Bakerloo,SB,Warwick Avenue,Paddington
Bakerloo,SB,Paddington,Edgware Road (Bak)
Bakerloo,SB,Edgware Road (Bak),Marylebone
Bakerloo,SB,Marylebone,Baker Street
Bakerloo,SB,Baker Street,Regent's Park
Bakerloo,SB,Regent's Park,Oxford Circus
Bakerloo,SB,Oxford Circus,Piccadilly Circus
Bakerloo,SB,Piccadilly Circus,Charing Cross
Bakerloo,SB,Charing Cross,Embankment
Bakerloo,SB,Embankment,Waterloo
Bakerloo,SB,Waterloo,Lambeth North
Bakerloo,SB,Lambeth North,Elephant & Castle
Central,EB,West Ruislip,Ruislip Gardens
Central,EB,Ruislip Gardens,South Ruislip
Central,EB,South Ruislip,Northolt
Central,EB,Northolt,Greenford
Central,EB,Greenford,Perivale
Central,EB,Perivale,Hanger Lane
Central,EB,Hanger Lane,North Acton
Central,EB,Ealing Broadway,West Acton
Central,EB,West Acton,North Acton
Central,EB,North Acton,East Acton
Central,EB,East Acton,White City
Central,EB,White City,Shepherd's Bush
Central,EB,Shepherd's Bush,Holland Park
Central,EB,Holland Park,Notting Hill Gate
Central,EB,Notting Hill Gate,Queensway
Central,EB,Queensway,Lancaster Gate
Central,EB,Lancaster Gate,Marble Arch
Central,EB,Marble Arch,Bond Street
Central,EB,Bond Street,Oxford Circus
Central,EB,Oxford Circus,Tottenham Court Road
Central,EB,Tottenham Court Road,Holborn
Central,EB,Holborn,Chancery Lane
Central,EB,Chancery Lane,St. Paul's
Central,EB,St. Paul's,Bank
Central,EB,Bank,Liverpool Street
Central,EB,Liverpool Street,Bethnal Green
Central,EB,Bethnal Green,Mile End
Central,EB,Mile End,Stratford
Central,EB,Stratford,Leyton
Central,EB,Leyton,Leytonstone
Central,EB,Leytonstone,Snaresbrook
Central,EB,Snaresbrook,South Woodford
Central,EB,South Woodford,Woodford
Central,EB,Woodford,Buckhurst Hill
Central,EB,Buckhurst Hill,Loughton
Central,EB,Loughton,Debden
Central,EB,Debden,Theydon Bois
Central,EB,Theydon Bois,Epping
Central,EB,Leytonstone,Wanstead
Central,EB,Wanstead,Redbridge
Central,EB,Redbridge,Gants Hill
Central,EB,Gants Hill,Newbury Park
Central,EB,Newbury Park,Barkingside
Central,EB,Barkingside,Fairlop
Central,EB,Fairlop,Hainault
Central,EB,Hainault,Grange Hill
Central,EB,Grange Hill,Chigwell
Central,EB,Chigwell,Roding Valley
Central,EB,Roding Valley,Woodford
Central,WB,Epping,Theydon Bois
Central,WB,Theydon Bois,Debden
Central,WB,Debden,Loughton
Central,WB,Loughton,Buckhurst Hill
Central,WB,Buckhurst Hill,Woodford
Central,WB,Woodford,South Woodford
Central,WB,South Woodford,Snaresbrook
Central,WB,Snaresbrook,Leytonstone
Central,WB,Woodford,Roding Valley
Central,WB,Roding Valley,Chigwell
Central,WB,Chigwell,Grange Hill
Central,WB,Grange Hill,Hainault
Central,WB,Hainault,Fairlop
Central,WB,Fairlop,Barkingside
Central,WB,Barkingside,Newbury Park
Central,WB,Newbury Park,Gants Hill
Central,WB,Gants Hill,Redbridge
Central,WB,Redbridge,Wanstead
Central,WB,Wanstead,Leytonstone
Central,WB,Leytonstone,Leyton
Central,WB,Leyton,Stratford
Central,WB,Stratford,Mile End
Central,WB,Mile End,Bethnal Green
Central,WB,Bethnal Green,Liverpool Street
Central,WB,Liverpool Street,Bank
Central,WB,Bank,St. Paul's
Central,WB,St. Paul's,Chancery Lane
Central,WB,Chancery Lane,Holborn
Central,WB,Holborn,Tottenham Court Road
Central,WB,Tottenham Court Road,Oxford Circus
Central,WB,Oxford Circus,Bond Street
Central,WB,Bond Street,Marble Arch
Central,WB,Marble Arch,Lancaster Gate
Central,WB,Lancaster Gate,Queensway
Central,WB,Queensway,Notting Hill Gate
Central,WB,Notting Hill Gate,Holland Park
Central,WB,Holland Park,Shepherd's Bush
Central,WB,Shepherd's Bush,White City
Central,WB,White City,East Acton
Central,WB,East Acton,North Acton
Central,WB,North Acton,Hanger Lane
Central,WB,Hanger Lane,Perivale
Central,WB,Perivale,Greenford
Central,WB,Greenford,Northolt
Central,WB,Northolt,South Ruislip
Central,WB,South Ruislip,Ruislip Gardens
Central,WB,Ruislip Gardens,West Ruislip
Central,WB,North Acton,West Acton
Central,WB,West Acton,Ealing Broadway
District,EB,Ealing Broadway,Ealing Common
District,EB,Ealing Common,Acton Town
District,EB,Acton Town,Chiswick Park
District,EB,Chiswick Park,Turnham Green
District,EB,Richmond,Kew Gardens
District,EB,Kew Gardens,Gunnersbury
District,EB,Gunnersbury,Turnham Green
District,EB,Turnham Green,Stamford Brook
District,EB,Stamford Brook,Ravenscourt Park
District,EB,Ravenscourt Park,Hammersmith (DIS)
District,EB,Hammersmith (DIS),Barons Court
